shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
deandre pinckney,2021-22,Southern Miss,CUSA,jr,F,68,55,0.808823529,Southern Miss,Southern Miss,depinckney,Non-Power
detorrion ware,2021-22,Morgan State,MEAC,jr,G,68,47,0.691176471,Morgan St.,Morgan State,deware,Non-Power
devonte green,2019-20,Indiana,B10,sr,G,68,48,0.705882353,Indiana,Indiana,degreen,Power
dexter mcclanahan,2019-20,Nicholls,Slnd,sr,G,68,48,0.705882353,Nicholls St.,Nicholls,demcclanahan,Non-Power
donald carey,2019-20,Siena,MAAC,so,G,68,56,0.823529412,Siena,Siena,docarey,Non-Power
drell roberts,2020-21,PV A&M,SWAC,jr,G,68,47,0.691176471,Prairie View A&M,Prairie View A&M,drroberts,Non-Power
drew buggs,2018-19,Hawai'i,BW,so,G,68,50,0.735294118,Hawaii,Hawai'i,drbuggs,Non-Power
dshawn schwartz,2021-22,George Mason,A10,sr,G,68,50,0.735294118,George Mason,George Mason,dsschwartz,Non-Power
dwight wilson,2020-21,Ohio,MAC,sr,F,68,46,0.676470588,Ohio,Ohio,dwwilson,Non-Power
dylan painter,2020-21,Delaware,CAA,sr,F,68,50,0.735294118,Delaware,Delaware,dypainter,Non-Power
elijah childs,2017-18,Bradley,MVC,fr,F/C,68,38,0.558823529,Bradley,Bradley,elchilds,Non-Power
elijah ford,2020-21,Wagner,NEC,sr,G,68,51,0.75,Wagner,Wagner,elford,Non-Power
ethan esposito,2019-20,Sacramento St,BSky,jr,F,68,43,0.632352941,Sacramento St.,Sacramento State,etesposito,Non-Power
gabe watson,2019-20,Southern Miss,CUSA,so,G,68,50,0.735294118,Southern Miss,Southern Miss,gawatson,Non-Power
gerdarius troutman,2017-18,FAU,CUSA,sr,G,68,59,0.867647059,Florida Atlantic,Florida Atlantic,getroutman,Non-Power
hunter seacat,2019-20,Appalachian St,SB,sr,F,68,41,0.602941176,Appalachian St.,Appalachian State,huseacat,Non-Power
isaiah mobley,2019-20,USC,P12,fr,F/C,68,35,0.514705882,USC,USC,ismobley,Power
isaiah moss,2017-18,Iowa,B10,so,G,68,60,0.882352941,Iowa,Iowa,ismoss,Power
isaiah ross,2017-18,UMKC,WAC,so,G,68,53,0.779411765,UMKC,UM Kansas City,isross,Non-Power
isaiah wilkins,2021-22,Longwood,BSth,sr,G,68,55,0.808823529,Longwood,Longwood,iswilkins,Non-Power
iziahiah sweeney,2017-18,Northwestern St,Slnd,sr,G,68,46,0.676470588,Northwestern St.,Northwestern State,izsweeney,Non-Power
jahmius ramsey,2019-20,Texas Tech,B12,fr,G,68,43,0.632352941,Texas Tech,Texas Tech,jaramsey,Power
jaime jaquez,2019-20,UCLA,P12,fr,G,68,52,0.764705882,UCLA,UCLA,jajaquez,Power
jake laravia,2019-20,Indiana State,MVC,fr,F/C,68,40,0.588235294,Indiana St.,Indiana State,jalaravia,Non-Power
javante mccoy,2018-19,Boston U,Pat,so,G,68,54,0.794117647,Boston University,Boston University,jamccoy,Non-Power
jaylin hunter,2021-22,Old Dominion,CUSA,so,G,68,57,0.838235294,Old Dominion,Old Dominion,jahunter,Non-Power
jimond ivey,2018-19,Akron,MAC,sr,G,68,53,0.779411765,Akron,Akron,jiivey,Non-Power
jonathan dalton,2018-19,SE Missouri St,OVC,sr,G,68,53,0.779411765,Southeast Missouri St.,Southeast Missouri State,jodalton,Non-Power
jordan hunter,2018-19,Saint Mary's,WCC,sr,C,68,41,0.602941176,Saint Mary's,Saint Mary's,johunter,Non-Power
jordan jones,2020-21,Marist,MAAC,sr,C,68,42,0.617647059,Marist,Marist,jojones,Non-Power
jordan miller,2021-22,Miami,ACC,jr,G,68,48,0.705882353,Miami FL,Miami,jomiller,Power
jordan roland,2018-19,Northeastern,CAA,jr,G,68,61,0.897058824,Northeastern,Northeastern,joroland,Non-Power
josh mcnair,2019-20,Green Bay,Horz,sr,F/C,68,33,0.485294118,Green Bay,Green Bay,jomcnair,Non-Power
josiah allick,2020-21,UMKC,Sum,so,F/C,68,44,0.647058824,UMKC,UM Kansas City,joallick,Non-Power
junior saintel,2017-18,Stony Brook,AE,sr,F,68,45,0.661764706,Stony Brook,Stony Brook,jusaintel,Non-Power
justin miller,2017-18,Louisiana,SB,so,F,68,53,0.779411765,Louisiana Lafayette,Louisiana,jumiller,Non-Power
kameron mcgusty,2019-20,Miami,ACC,jr,G,68,51,0.75,Miami FL,Miami,kamcgusty,Power
kayne henry,2021-22,Jacksonville St,ASun,sr,F,68,47,0.691176471,Jacksonville St.,Jacksonville State,kahenry,Non-Power
khyri thomas,2017-18,Creighton,BE,jr,G,68,53,0.779411765,Creighton,Creighton,khthomas,Power
kyle young,2021-22,Ohio State,B10,sr,F,68,53,0.779411765,Ohio St.,Ohio State,kyyoung,Power
lafayette dorsey,2018-19,Pacific,WCC,so,G,68,58,0.852941176,Pacific,Pacific,ladorsey,Non-Power
larry owens,2017-18,Northwestern St,Slnd,fr,C,68,33,0.485294118,Northwestern St.,Northwestern State,laowens,Non-Power
lesley varner,2017-18,UT Rio Grande,WAC,so,F,68,49,0.720588235,UT Rio Grande Valley,UT Rio Grande Valley,levarner,Non-Power
marcus hammond,2020-21,Niagara,MAAC,jr,G,68,52,0.764705882,Niagara,Niagara,mahammond,Non-Power
marcus mcclary,2021-22,Monmouth,MAAC,sr,G,68,39,0.573529412,Monmouth,Monmouth,mamcclary,Non-Power
matt halvorsen,2017-18,W Carolina,SC,fr,G,68,57,0.838235294,Western Carolina,Western Carolina,mahalvorsen,Non-Power
mike laster,2017-18,Ohio,MAC,sr,G,68,48,0.705882353,Ohio,Ohio,milaster,Non-Power
montez mathis,2020-21,Rutgers,B10,jr,G,68,39,0.573529412,Rutgers,Rutgers,momathis,Power
nana opoku,2021-22,Mt St Mary's,NEC,sr,F/C,68,40,0.588235294,Mount St. Mary's,Mt. St. Mary'S,naopoku,Non-Power
nate renfro,2017-18,San Francisco,WCC,jr,F,68,29,0.426470588,San Francisco,San Francisco,narenfro,Non-Power
paschal chukwu,2018-19,Syracuse,ACC,sr,C,68,42,0.617647059,Syracuse,Syracuse,pachukwu,Power
patrick mwamba,2021-22,UT Arlington,SB,so,G,68,46,0.676470588,UT Arlington,UT Arlington,pamwamba,Non-Power
payton hulsey,2017-18,FAU,CUSA,sr,G,68,45,0.661764706,Florida Atlantic,Florida Atlantic,pahulsey,Non-Power
pj byrd,2021-22,Southern,SWAC,jr,G,68,54,0.794117647,Southern,Southern,pjbyrd,Non-Power
quinn taylor,2017-18,St Peter's,MAAC,so,G,68,50,0.735294118,Saint Peter's,Saint Peter's,qutaylor,Non-Power
quinten post,2021-22,Boston College,ACC,jr,F/C,68,49,0.720588235,Boston College,Boston College,qupost,Power
raheem solomon,2019-20,Niagara,MAAC,so,G,68,55,0.808823529,Niagara,Niagara,rasolomon,Non-Power
rasheem dunn,2020-21,St John's,BE,sr,G,68,47,0.691176471,St. John's,St. John's,radunn,Power
scott hitchon,2019-20,Canisius,MAAC,jr,F,68,51,0.75,Canisius,Canisius,schitchon,Non-Power
sean mcdermott,2019-20,Butler,BE,sr,F,68,59,0.867647059,Butler,Butler,semcdermott,Power
seth pinkney,2020-21,Quinnipiac,MAAC,so,F/C,68,43,0.632352941,Quinnipiac,Quinnipiac,sepinkney,Non-Power
sheldon edwards,2021-22,Valparaiso,MVC,so,G,68,53,0.779411765,Valparaiso,Valparaiso,shedwards,Non-Power
shemar rathan-mayes,2020-21,Youngstown St,Horz,fr,G,68,56,0.823529412,Youngstown St.,Youngstown State,shrathan,Non-Power
sir washington,2017-18,E Washington,BSky,sr,G,68,41,0.602941176,Eastern Washington,Eastern Washington,siwashington,Non-Power
tamell pearson,2020-21,W Illinois,Sum,jr,F,68,46,0.676470588,Western Illinois,Western Illinois,tapearson,Non-Power
tarkus ferguson,2018-19,UIC,Horz,jr,G,68,53,0.779411765,Illinois Chicago,UIC,taferguson,Non-Power
tevin brewer,2021-22,FIU,CUSA,jr,G,68,54,0.794117647,FIU,Florida International,tebrewer,Non-Power
theo akwuba,2021-22,Louisiana,SB,jr,F,68,47,0.691176471,Louisiana Lafayette,Louisiana,thakwuba,Non-Power
titus wright,2020-21,W Michigan,MAC,so,C,68,35,0.514705882,Western Michigan,Western Michigan,tiwright,Non-Power
toumani camara,2019-20,Georgia,SEC,fr,F,68,42,0.617647059,Georgia,Georgia,tocamara,Power
trent frazier,2019-20,Illinois,B10,jr,G,68,58,0.852941176,Illinois,Illinois,trfrazier,Power
trevon taylor,2021-22,Cal Poly,BW,jr,F,68,55,0.808823529,Cal Poly,Cal Poly,trtaylor,Non-Power
trhae mitchell,2017-18,South Alabama,SB,so,F,68,44,0.647058824,South Alabama,South Alabama,trmitchell,Non-Power
troy baxter,2020-21,Morgan State,MEAC,sr,F/C,68,49,0.720588235,Morgan St.,Morgan State,trbaxter,Non-Power
tyrese martin,2019-20,URI,A10,so,F,68,45,0.661764706,Rhode Island,Rhode Island,tymartin,Non-Power
zach chappell,2019-20,San Jose State,MWC,so,G,68,50,0.735294118,San Jose St.,San José State,zachappell,Non-Power
zach green,2017-18,Montana State,BSky,sr,G,68,47,0.691176471,Montana St.,Montana State,zagreen,Non-Power
ahmed hill,2018-19,Virginia Tech,ACC,sr,G,67,54,0.805970149,Virginia Tech,Virginia Tech,ahhill,Power
ajare sanni,2021-22,UCSB,BW,jr,G,67,53,0.791044776,UC Santa Barbara,UC Santa Barbara,ajsanni,Non-Power
alfred hollins,2017-18,Oregon State,P12,fr,F,67,45,0.671641791,Oregon St.,Oregon State,alhollins,Power
aljaz kunc,2021-22,Iowa State,B12,sr,F,67,48,0.71641791,Iowa St.,Iowa State,alkunc,Power
andersson garcia,2021-22,Miss St,SEC,so,F,67,38,0.567164179,Mississippi St.,Mississippi State,angarcia,Power
andrew funk,2021-22,Bucknell,Pat,sr,G,67,51,0.76119403,Bucknell,Bucknell,anfunk,Non-Power
anthony crump,2021-22,N Illinois,MAC,sr,F,67,31,0.462686567,Northern Illinois,Northern Illinois,ancrump,Non-Power
antonio green,2019-20,Mid Tennessee,CUSA,sr,G,67,54,0.805970149,Middle Tennessee,Middle Tennessee,angreen,Non-Power
brandon austin,2019-20,Samford,SC,sr,G,67,58,0.865671642,Samford,Samford,braustin,Non-Power
braxton key,2018-19,UVA,ACC,jr,F,67,49,0.731343284,Virginia,Virginia,brkey,Power
bryce canda,2017-18,Portland State,BSky,sr,G,67,44,0.656716418,Portland St.,Portland State,brcanda,Non-Power
bryce johnson,2021-22,Sacred Heart,NEC,so,F,67,34,0.507462687,Sacred Heart,Sacred Heart,brjohnson,Non-Power
bryce nze,2019-20,Butler,BE,jr,F,67,40,0.597014925,Butler,Butler,brnze,Power
caleb stewart,2018-19,Binghamton,AE,sr,F/C,67,51,0.76119403,Binghamton,Binghamton,castewart,Non-Power
chad lott,2018-19,Howard,MEAC,jr,G,67,47,0.701492537,Howard,Howard,chlott,Non-Power
charles bediako,2021-22,Alabama,SEC,fr,C,67,41,0.611940299,Alabama,Alabama,chbediako,Power
claudell harris,2021-22,Charleston So,BSth,fr,G,67,51,0.76119403,Charleston Southern,Charleston Southern,clharris,Non-Power
clay gayman,2019-20,Abil Christian,Slnd,so,F,67,53,0.791044776,Abilene Christian,Abilene Christian,clgayman,Non-Power
cole swider,2021-22,Syracuse,ACC,sr,F,67,58,0.865671642,Syracuse,Syracuse,coswider,Power
damani applewhite,2019-20,S Carolina St,MEAC,sr,F/C,67,52,0.776119403,South Carolina St.,South Carolina State,daapplewhite,Non-Power
davion mintz,2021-22,Kentucky,SEC,sr,G,67,47,0.701492537,Kentucky,Kentucky,damintz,Power
deron davis,2018-19,Indiana,B10,jr,F,67,41,0.611940299,Indiana,Indiana,dedavis,Power
dj smith,2021-22,Little Rock,SB,fr,G,67,51,0.76119403,Little Rock,Arkansas-Little Rock,djsmith,Non-Power
dominique collier,2017-18,Colorado,P12,sr,G,67,51,0.76119403,Colorado,Colorado,docollier,Power
donte ingram,2017-18,Loyola-Chicago,MVC,sr,F,67,48,0.71641791,Loyola Chicago,Loyola Chicago,doingram,Non-Power
dshawn schwartz,2019-20,Colorado,P12,jr,G,67,48,0.71641791,Colorado,Colorado,dsschwartz,Power
dwayne morgan,2017-18,Southern Utah,BSky,jr,F/C,67,43,0.641791045,Southern Utah,Southern Utah,dwmorgan,Non-Power
elijah childs,2019-20,Bradley,MVC,jr,F/C,67,47,0.701492537,Bradley,Bradley,elchilds,Non-Power
ernie duncan,2017-18,Vermont,AE,jr,G,67,57,0.850746269,Vermont,Vermont,erduncan,Non-Power
ethan stair,2019-20,Mercer,SC,sr,G,67,58,0.865671642,Mercer,Mercer,etstair,Non-Power
eyassu worku,2019-20,UC Irvine,BW,sr,G,67,50,0.746268657,UC Irvine,UC Irvine,eyworku,Non-Power
fabian white,2018-19,Houston,Amer,so,F/C,67,45,0.671641791,Houston,Houston,fawhite,Non-Power
fletcher tynen,2021-22,Boston U,Pat,sr,G,67,50,0.746268657,Boston University,Boston University,fltynen,Non-Power
fousseyni drame,2021-22,St Peter's,MAAC,jr,F/C,67,42,0.626865672,Saint Peter's,Saint Peter's,fodrame,Non-Power
geo baker,2017-18,Rutgers,B10,fr,G,67,53,0.791044776,Rutgers,Rutgers,gebaker,Power
hassan diarra,2021-22,Texas A&M,SEC,so,G,67,46,0.686567164,Texas A&M,Texas A&M,hadiarra,Power
isaiah kelly,2021-22,Yale,Ivy,jr,F/C,67,42,0.626865672,Yale,Yale,iskelly,Non-Power
ishmael el-amin,2020-21,Ball State,MAC,sr,G,67,59,0.880597015,Ball St.,Ball State,isel,Non-Power
isiah deas,2017-18,La Salle,A10,so,G,67,47,0.701492537,La Salle,La Salle,isdeas,Non-Power
jahaad proctor,2019-20,Purdue,B10,sr,G,67,54,0.805970149,Purdue,Purdue,japroctor,Power
jahvon blair,2020-21,Georgetown,BE,sr,G,67,57,0.850746269,Georgetown,Georgetown,jablair,Power
jalen hawkins,2019-20,Robert Morris,NEC,so,G,67,51,0.76119403,Robert Morris,Robert Morris,jahawkins,Non-Power
jalen williams,2020-21,Santa Clara,WCC,so,G,67,51,0.76119403,Santa Clara,Santa Clara,jawilliams,Non-Power
jamaine mann,2021-22,Vanderbilt,SEC,so,F,67,39,0.582089552,Vanderbilt,Vanderbilt,jamann,Power
jamari blackmon,2021-22,North Alabama,ASun,jr,G,67,58,0.865671642,North Alabama,North Alabama,jablackmon,Non-Power
james baker,2019-20,Morehead State,OVC,jr,F,67,40,0.597014925,Morehead St.,Morehead State,jabaker,Non-Power
james harvey,2018-19,Mcneese,Slnd,sr,G,67,61,0.910447761,McNeese St.,Mcneese St,jaharvey,Non-Power
jared rhoden,2019-20,Seton Hall,BE,so,F,67,43,0.641791045,Seton Hall,Seton Hall,jarhoden,Power
jayden martinez,2021-22,UNH,AE,sr,F,67,44,0.656716418,New Hampshire,New Hampshire,jamartinez,Non-Power
jc show,2017-18,Binghamton,AE,jr,G,67,58,0.865671642,Binghamton,Binghamton,jcshow,Non-Power
jemerrio jones,2017-18,New Mexico St,WAC,sr,F/C,67,37,0.552238806,New Mexico St.,New Mexico State,jejones,Non-Power
jericole hellems,2020-21,NC State,ACC,jr,F,67,52,0.776119403,North Carolina St.,NC State,jehellems,Power
john carter,2019-20,Navy,Pat,so,G,67,53,0.791044776,Navy,Navy,jocarter,Non-Power
jordan davis,2021-22,Jacksonville,ASun,sr,G,67,50,0.746268657,Jacksonville,Jacksonville,jodavis,Non-Power
jordan roberts,2019-20,Long Beach State,BW,jr,F,67,50,0.746268657,Long Beach St.,Long Beach State,joroberts,Non-Power
jordan tucker,2019-20,Butler,BE,jr,F,67,53,0.791044776,Butler,Butler,jotucker,Power
josh sharma,2018-19,Stanford,P12,sr,C,67,47,0.701492537,Stanford,Stanford,josharma,Power
justin carpenter,2017-18,SE Missouri St,OVC,fr,F/C,67,42,0.626865672,Southeast Missouri St.,Southeast Missouri State,jucarpenter,Non-Power
kamari mcgee,2021-22,Green Bay,Horz,fr,G,67,54,0.805970149,Green Bay,Green Bay,kamcgee,Non-Power
kane williams,2017-18,Georgia State,SB,fr,G,67,48,0.71641791,Georgia St.,Georgia St,kawilliams,Non-Power
karl gamble,2018-19,Mid Tennessee,CUSA,sr,F/C,67,39,0.582089552,Middle Tennessee,Middle Tennessee,kagamble,Non-Power
karlis silins,2019-20,FAU,CUSA,so,F/C,67,50,0.746268657,Florida Atlantic,Florida Atlantic,kasilins,Non-Power
karlis silins,2020-21,FAU,CUSA,jr,F/C,67,46,0.686567164,Florida Atlantic,Florida Atlantic,kasilins,Non-Power
kevin anderson,2019-20,Delaware,CAA,so,G,67,48,0.71641791,Delaware,Delaware,keanderson,Non-Power
kevin johnson,2020-21,Nicholls,Slnd,sr,G,67,48,0.71641791,Nicholls St.,Nicholls,kejohnson,Non-Power
kj hymes,2019-20,Nevada,MWC,fr,F,67,43,0.641791045,Nevada,Nevada,kjhymes,Non-Power
kobe webster,2017-18,W Illinois,Sum,fr,G,67,53,0.791044776,Western Illinois,Western Illinois,kowebster,Non-Power
kris bankston,2018-19,Little Rock,SB,so,F,67,34,0.507462687,Little Rock,Arkansas-Little Rock,krbankston,Non-Power
kwane marble,2019-20,Wyoming,MWC,fr,G,67,51,0.76119403,Wyoming,Wyoming,kwmarble,Non-Power
liam oreilly,2017-18,Gardner-Webb,BSth,sr,G,67,56,0.835820896,Gardner Webb,Gardner-Webb,lioreilly,Non-Power
logan mcintosh,2017-18,MD-E Shore,MEAC,sr,G,67,51,0.76119403,Maryland Eastern Shore,Maryland-Eastern Shore,lomcintosh,Non-Power
ludovic dufeal,2019-20,Gardner-Webb,BSth,so,F,67,40,0.597014925,Gardner Webb,Gardner-Webb,ludufeal,Non-Power
macio teague,2017-18,UNC Asheville,BSth,so,G,67,59,0.880597015,UNC Asheville,UNC Asheville,mateague,Non-Power
malik miller,2019-20,Morgan State,MEAC,so,G,67,41,0.611940299,Morgan St.,Morgan State,mamiller,Non-Power
marcus foster,2017-18,Creighton,BE,sr,G,67,51,0.76119403,Creighton,Creighton,mafoster,Power
marcus santos-silva,2018-19,VCU,A10,so,F/C,67,41,0.611940299,VCU,VCU,masantos,Non-Power
marquell fraser,2019-20,Idaho,BSky,jr,G,67,49,0.731343284,Idaho,Idaho,mafraser,Non-Power
marquis eaton,2020-21,Arkansas State,SB,sr,G,67,57,0.850746269,Arkansas St.,Arkansas St,maeaton,Non-Power
marquis eaton,2021-22,Arkansas State,SB,sr,G,67,57,0.850746269,Arkansas St.,Arkansas St,maeaton,Non-Power
marvin johnson,2019-20,E Illinois,OVC,jr,G,67,48,0.71641791,Eastern Illinois,Eastern Illinois,majohnson,Non-Power
mason peatling,2017-18,E Washington,BSky,so,F/C,67,42,0.626865672,Eastern Washington,Eastern Washington,mapeatling,Non-Power
matthew lee,2020-21,St Peter's,MAAC,so,G,67,46,0.686567164,Saint Peter's,Saint Peter's,malee,Non-Power
melo eggleston,2019-20,Arkansas State,SB,so,F/C,67,40,0.597014925,Arkansas St.,Arkansas St,meeggleston,Non-Power
mike meadows,2021-22,Portland,WCC,jr,G,67,61,0.910447761,Portland,Portland,mimeadows,Non-Power
mike okauru,2021-22,UNC Wilmington,CAA,sr,G,67,51,0.76119403,UNC Wilmington,UNC Wilmington,miokauru,Non-Power
mitchell solomon,2017-18,Oklahoma State,B12,sr,F/C,67,58,0.865671642,Oklahoma St.,Oklahoma State,misolomon,Power
myles lewis,2018-19,VMI,SC,so,G,67,42,0.626865672,VMI,VMI,mylewis,Non-Power
namon wright,2017-18,Colorado,P12,jr,G,67,51,0.76119403,Colorado,Colorado,nawright,Power
nick richards,2018-19,Kentucky,SEC,so,F,67,47,0.701492537,Kentucky,Kentucky,nirichards,Power
oliver powell,2017-18,LA Tech,CUSA,so,F,67,45,0.671641791,Louisiana Tech,Louisiana Tech,olpowell,Non-Power
prince toyambi,2021-22,Ga Southern,SB,jr,F/C,67,40,0.597014925,Georgia Southern,Georgia Southern,prtoyambi,Non-Power
rey idowu,2020-21,Tulsa,Amer,jr,F,67,35,0.52238806,Tulsa,Tulsa,reidowu,Non-Power
rich williams,2017-18,Manhattan,MAAC,sr,G,67,53,0.791044776,Manhattan,Manhattan,riwilliams,Non-Power
richard harward,2020-21,BYU,WCC,jr,C,67,35,0.52238806,BYU,BYU,riharward,Non-Power
ryan funk,2017-18,Marist,MAAC,jr,G,67,50,0.746268657,Marist,Marist,ryfunk,Non-Power
sammy mojica,2017-18,Drexel,CAA,sr,G,67,45,0.671641791,Drexel,Drexel,samojica,Non-Power
samuel idowu,2018-19,St Peter's,MAAC,sr,F/C,67,52,0.776119403,Saint Peter's,Saint Peter's,saidowu,Non-Power
skyelar potter,2018-19,Wright State,Horz,fr,G,67,46,0.686567164,Wright St.,Wright State,skpotter,Non-Power
tadric jackson,2017-18,Georgia Tech,ACC,sr,G,67,41,0.611940299,Georgia Tech,Georgia Tech,tajackson,Power
tae hardy,2020-21,Southern Miss,CUSA,jr,G,67,52,0.776119403,Southern Miss,Southern Miss,tahardy,Non-Power
terrell williams,2021-22,Southern,SWAC,so,G,67,47,0.701492537,Southern,Southern,tewilliams,Non-Power
thatch unruh,2017-18,Cent Arkansas,Slnd,jr,G,67,51,0.76119403,Central Arkansas,Central Arkansas,thunruh,Non-Power
tre ivory,2017-18,Austin Peay,OVC,sr,G,67,36,0.537313433,Austin Peay,Austin Peay,trivory,Non-Power
tremell murphy,2021-22,Drake,MVC,sr,F,67,55,0.820895522,Drake,Drake,trmurphy,Non-Power
trent frazier,2021-22,Illinois,B10,sr,G,67,56,0.835820896,Illinois,Illinois,trfrazier,Power
trey drechsel,2018-19,Grand Canyon,WAC,sr,F,67,45,0.671641791,Grand Canyon,Grand Canyon,trdrechsel,Non-Power
tuukka jaakkola,2019-20,Cal Poly,BW,so,F,67,44,0.656716418,Cal Poly,Cal Poly,tujaakkola,Non-Power
ty brewer,2021-22,ETSU,SC,jr,F,67,50,0.746268657,East Tennessee St.,East Tennessee State,tybrewer,Non-Power
tyrell johnson,2018-19,Appalachian St,SB,sr,F,67,49,0.731343284,Appalachian St.,Appalachian State,tyjohnson,Non-Power
tywhon pickford,2017-18,Northern Iowa,MVC,fr,G,67,52,0.776119403,Northern Iowa,Northern Iowa,typickford,Non-Power
wendell moore,2019-20,Duke,ACC,fr,G,67,54,0.805970149,Duke,Duke,wemoore,Power
will robinson,2018-19,Mcneese,Slnd,jr,F,67,54,0.805970149,McNeese St.,Mcneese St,wirobinson,Non-Power
zac tillman,2017-18,Monmouth,MAAC,sr,C,67,48,0.71641791,Monmouth,Monmouth,zatillman,Non-Power
abel porter,2018-19,Utah State,MWC,so,G,66,47,0.712121212,Utah St.,Utah State,abporter,Non-Power
adam pickett,2017-18,Winthrop,BSth,jr,G,66,48,0.727272727,Winthrop,Winthrop,adpickett,Non-Power
akim mitchell,2018-19,Hampton,BSth,sr,G,66,55,0.833333333,Hampton,Hampton,akmitchell,Non-Power
alex lomax,2021-22,Memphis,Amer,sr,G,66,48,0.727272727,Memphis,Memphis,allomax,Non-Power
alex oconnell,2021-22,Creighton,BE,sr,G,66,54,0.818181818,Creighton,Creighton,aloconnell,Power
amir allen,2018-19,Milwaukee,Horz,so,F/C,66,36,0.545454545,Milwaukee,Milwaukee,amallen,Non-Power
andre wolford,2017-18,St Francis (PA),NEC,jr,G,66,55,0.833333333,St. Francis PA,St. Francis (PA),anwolford,Non-Power
antino jackson,2017-18,New Mexico,MWC,sr,G,66,51,0.772727273,New Mexico,New Mexico,anjackson,Non-Power
antwon portley,2019-20,Fordham,A10,sr,G,66,50,0.757575758,Fordham,Fordham,anportley,Non-Power
ayo akinwole,2020-21,Omaha,Sum,sr,G,66,57,0.863636364,Nebraska Omaha,Omaha,ayakinwole,Non-Power
ben roderick,2021-22,Ohio,MAC,jr,G,66,41,0.621212121,Ohio,Ohio,beroderick,Non-Power
bjorn broman,2017-18,Winthrop,BSth,jr,G,66,53,0.803030303,Winthrop,Winthrop,bjbroman,Non-Power
branden carlson,2021-22,Utah,P12,jr,F/C,66,54,0.818181818,Utah,Utah,brcarlson,Power
brekkott chapman,2018-19,Weber State,BSky,sr,F/C,66,49,0.742424242,Weber St.,Weber State,brchapman,Non-Power
bryson langdon,2020-21,N Kentucky,Horz,jr,G,66,51,0.772727273,Northern Kentucky,Northern Kentucky,brlangdon,Non-Power
byron frohnen,2017-18,UTSA,CUSA,so,F,66,46,0.696969697,UTSA,UT San Antonio,byfrohnen,Non-Power
callum mcrae,2021-22,UC Riverside,BW,jr,C,66,41,0.621212121,UC Riverside,UC Riverside,camcrae,Non-Power
carlton bragg,2019-20,New Mexico,MWC,sr,F/C,66,54,0.818181818,New Mexico,New Mexico,cabragg,Non-Power
cedric henderson,2021-22,Campbell,BSth,sr,G,66,43,0.651515152,Campbell,Campbell,cehenderson,Non-Power
christian cunningham,2017-18,Jacksonville St,OVC,jr,F/C,66,33,0.5,Jacksonville St.,Jacksonville State,chcunningham,Non-Power
christian wilson,2020-21,Longwood,BSth,jr,F,66,47,0.712121212,Longwood,Longwood,chwilson,Non-Power
cj jones,2018-19,Northwestern St,Slnd,so,G,66,52,0.787878788,Northwestern St.,Northwestern State,cjjones,Non-Power
cj kelly,2021-22,UMass,A10,jr,G,66,52,0.787878788,Massachusetts,Massachusetts,cjkelly,Non-Power
clarence nadolny,2021-22,Texas Tech,B12,jr,G,66,47,0.712121212,Texas Tech,Texas Tech,clnadolny,Power
corey brown,2017-18,N Arizona,BSky,jr,F,66,36,0.545454545,Northern Arizona,Northern Arizona,cobrown,Non-Power
damen thacker,2020-21,Idaho,BSky,sr,G,66,56,0.848484848,Idaho,Idaho,dathacker,Non-Power
daniel utomi,2018-19,Akron,MAC,jr,G,66,46,0.696969697,Akron,Akron,dautomi,Non-Power
darius perry,2020-21,UCF,Amer,sr,G,66,57,0.863636364,UCF,UCF,daperry,Non-Power
david jenkins,2020-21,UNLV,MWC,jr,G,66,51,0.772727273,UNLV,UNLV,dajenkins,Non-Power
deion hammond,2017-18,Monmouth,MAAC,fr,G,66,44,0.666666667,Monmouth,Monmouth,dehammond,Non-Power
dejan vasiljevic,2019-20,Miami,ACC,sr,G,66,58,0.878787879,Miami FL,Miami,devasiljevic,Power
dequon lake,2017-18,Arizona State,P12,jr,F,66,42,0.636363636,Arizona St.,Arizona State,delake,Power
dylan addae-wusu,2021-22,St John's,BE,so,G,66,40,0.606060606,St. John's,St. John's,dyaddae,Power
elijah buchanan,2021-22,Manhattan,MAAC,sr,G,66,43,0.651515152,Manhattan,Manhattan,elbuchanan,Non-Power
emmanuel bandoumel,2019-20,SMU,Amer,so,G,66,51,0.772727273,SMU,SMU,embandoumel,Non-Power
emmanuel nzekwesi,2017-18,Oral Roberts,Sum,so,F,66,47,0.712121212,Oral Roberts,Oral Roberts,emnzekwesi,Non-Power
emmett naar,2017-18,Saint Mary's,WCC,sr,G,66,56,0.848484848,Saint Mary's,Saint Mary's,emnaar,Non-Power
eric hamilton,2019-20,Pitt,ACC,sr,F,66,46,0.696969697,Pittsburgh,Pittsburgh,erhamilton,Power
eric parrish,2017-18,Akron,MAC,fr,G,66,41,0.621212121,Akron,Akron,erparrish,Non-Power
everette hammond,2021-22,UMass Lowell,AE,sr,G,66,56,0.848484848,UMass Lowell,UMass Lowell,evhammond,Non-Power
ezra manjon,2020-21,UC Davis,BW,so,G,66,55,0.833333333,UC Davis,UC Davis,ezmanjon,Non-Power
faite williams,2019-20,PV A&M,SWAC,so,G,66,49,0.742424242,Prairie View A&M,Prairie View A&M,fawilliams,Non-Power
finn sullivan,2019-20,San Diego,WCC,so,G,66,41,0.621212121,San Diego,San Diego,fisullivan,Non-Power
